I0624 20:37:35.970782 16949 fragment_loader.cc:23] [worker1]: Begin loading rfile...
I0624 20:37:36.028973 16596 fragment_loader.cc:23] [worker2]: Begin loading rfile...
I0624 20:37:36.077271  7065 fragment_loader.cc:23] [worker3]: Begin loading rfile...
I0624 20:37:36.084792 25120 fragment_loader.cc:23] [worker8]: Begin loading rfile...
I0624 20:37:36.134640 17934 fragment_loader.cc:23] [worker7]: Begin loading rfile...
I0624 20:37:36.095073 17645 fragment_loader.cc:23] [worker6]: Begin loading rfile...
I0624 20:37:35.724373 30372 fragment_loader.cc:23] [worker5]: Begin loading rfile...
I0624 20:37:36.067687 23633 fragment_loader.cc:23] [worker4]: Begin loading rfile...
I0624 20:37:37.258740 30372 fragment_loader.cc:51] [worker5]: Finished loading rfile...
I0624 20:37:37.506603 16949 fragment_loader.cc:49] frag-0 vertex num is 28073
I0624 20:37:37.506651 16949 fragment_loader.cc:49] frag-1 vertex num is 26838
I0624 20:37:37.506669 16949 fragment_loader.cc:49] frag-2 vertex num is 28060
I0624 20:37:37.506673 16949 fragment_loader.cc:49] frag-3 vertex num is 27877
I0624 20:37:37.506677 16949 fragment_loader.cc:49] frag-4 vertex num is 28074
I0624 20:37:37.506681 16949 fragment_loader.cc:49] frag-5 vertex num is 28016
I0624 20:37:37.506685 16949 fragment_loader.cc:49] frag-6 vertex num is 28072
I0624 20:37:37.506688 16949 fragment_loader.cc:49] frag-7 vertex num is 25632
I0624 20:37:37.506691 16949 fragment_loader.cc:49] frag-8 vertex num is 28066
I0624 20:37:37.506695 16949 fragment_loader.cc:49] frag-9 vertex num is 28067
I0624 20:37:37.506698 16949 fragment_loader.cc:49] frag-10 vertex num is 24481
I0624 20:37:37.506701 16949 fragment_loader.cc:49] frag-11 vertex num is 28024
I0624 20:37:37.506705 16949 fragment_loader.cc:49] frag-12 vertex num is 28047
I0624 20:37:37.506708 16949 fragment_loader.cc:49] frag-13 vertex num is 23103
I0624 20:37:37.506711 16949 fragment_loader.cc:49] frag-14 vertex num is 28078
I0624 20:37:37.506714 16949 fragment_loader.cc:49] frag-15 vertex num is 28062
I0624 20:37:37.506718 16949 fragment_loader.cc:49] frag-16 vertex num is 28064
I0624 20:37:37.506721 16949 fragment_loader.cc:49] frag-17 vertex num is 28050
I0624 20:37:37.506724 16949 fragment_loader.cc:49] frag-18 vertex num is 28065
I0624 20:37:37.506727 16949 fragment_loader.cc:49] frag-19 vertex num is 11623
I0624 20:37:37.506731 16949 fragment_loader.cc:49] frag-20 vertex num is 28050
